longitud,latitud,distrito,poblacion
-85.242791,10.730357,Pueblo Nuevo,157
-85.104990,10.456752,Sandillal,381
-84.988089,10.374742,Solania,172
-84.928051,10.410579,San Miguel,215
-85.351667,10.544711,Pijije,962
-84.296379,9.486652,Palo Seco,252
-84.208145,9.492831,Damas,482
-84.154931,9.410411,Parque Manuel Antonio,1113
-84.001379,9.359473,Pasito,144
-83.865252,9.344061,Tierras Morenas,52
-83.863026,09.255771,"Dominical,Bahía Ballena",500
-84.555891,10.896956,Santa Elena,106
-84.584772,10.377739,San Isidro de Peñas Blancas,1052
-84.523659,10.422249,La Vega,827
-84.131756,10.344642,San Ramón,396
-83.981981,10.420287,Tigre,726
-83.859363,10.387691,San Gerardo,400
-82.908411,9.774871,Penshurt,824
-82.800179,9.664385,Hone Creek,1320
-82.986174,9.561649,Sepeque,807
-82.707181,9.571511,Paraiso,1063
-83.305206,9.234113,Ujarrás,668
